gpa,sat_score,family_income,extracurriculars,leadership,volunteer_hours,essay_score,recommendation_strength,region,first_gen,eligibility_score,eligible,wassce_score,admitted
3.3818490366230796,1030,20108.08,0,1,74,6.912839510879463,5,Urban,1,85.25037749794743,1,438,0
3.3563879821668836,993,13647.42,2,0,173,4.354913531695092,3,Urban,1,87.07868830868554,1,355,1
2.9676948474833367,1494,15813.18,2,0,287,0,3,Urban,0,97.66255287816278,1,478,0
2.984259704021379,1395,15510.76,3,1,62,9.789387158917162,4,Rural,0,96.86283559594588,1,548,1
3.106995677092449,1001,3012.32,3,1,43,3.863033535024694,2,Urban,0,83.94496581,1,478,0
3.2042521290572186,1107,1003.09,2,0,116,0,1,Rural,0,100,1,356,0
3.1986975409921774,975,15693.58,0,0,185,0,3,Urban,0,74.25357192,0,454,0
3.3501908706563985,1532,13315.55,3,0,12,18.09870012268645,4,Urban,0,100,1,402,1
2.5416422780727372,1489,3183.59,3,0,144,1.8100917434387638,4,Urban,0,98.92503206769486,1,341,1
3.4966116684649613,1555,10316.13,4,0,86,0,2,Rural,0,95.89706877,1,355,1
3.3030959077022914,838,1004.13,3,0,13,0,2,Urban,0,69.31784444153976,1,483,0
2.8418100007173788,1020,21235.84,1,1,83,3.8696612307253937,5,Urban,0,69.26023148909067,0,454,0
3.2914507028919475,1503,12848.2,0,0,222,4.291632807663812,1,Rural,1,98.58445211154259,1,523,0
3.5402516766337384,1217,2963.16,1,0,229,9.347731147,1,Urban,0,98.81010475531673,1,365,0
3.167320448419353,1063,11364.94,5,0,276,4.589855808111755,3,Urban,0,86.39389783602289,1,357,1
4.085575876756408,1550,7935.14,4,0,20,12.105629853997767,2,Urban,0,95.63810627765722,1,474,0
3.829838848,1522,11623.85,4,1,236,2.209387225787422,4,Urban,0,100,1,589,0
3.551145409565686,1224,2972.31,1,0,226,6.843531356933673,1,Urban,0,98.00615646783208,1,350,0
2.9559501813250995,1392,2523.66,5,1,125,0.28177282254758884,1,Rural,0,93.14566161382086,1,521,0
2.926307887397257,974,10744.45,5,0,105,11.002766672797792,3,Rural,1,80.56136697852037,1,520,1
3.583077934103674,956,13977.23,3,0,6,6.391494757262938,3,Urban,0,66.30183576527021,0,339,0
2.5471321040419443,910,6548.67,3,0,168,2.2037980806636925,5,Urban,0,62.35490076726076,0,582,1
3.1524654675640087,1336,16773.87,5,1,75,11.569628376338581,5,Urban,1,92.92382768031715,1,475,0
3.258560951361942,1527,8997.35,3,0,57,7.167436113720521,5,Urban,0,100,1,525,1
3.5010410509941696,1101,5255.81,4,0,143,0.547617509,4,Rural,0,100,1,544,1
3.9603429387683255,815,12645.9,4,0,0,2.5554529982610994,2,Urban,0,63.20477258858273,0,364,0
3.0350890916588367,899,2034.48,5,1,31,7.214033157249807,3,Rural,0,89.86795952220132,1,548,0
3.5760946698100082,1091,11592.45,3,0,154,4.384146708116775,2,Rural,0,74.64290463700681,1,440,1
3.645224140780262,1333,994.15,3,0,13,6.567817417291578,2,Urban,1,96.96329797074877,1,466,1
3.2567939242112938,1281,9802.29,3,1,31,1.2924403272081626,3,Urban,0,100,1,501,0
3.2743330109861453,1491,12850.28,0,0,206,4.586361596314075,1,Rural,1,92.7875189,1,509,0
2.9134232847548946,851,8484.25,1,0,206,8.622005569925252,3,Urban,1,48.33742499566662,0,441,1
3.4323272724018876,1126,22826.68,4,0,242,4.181090376458946,3,Urban,0,96.01890156669042,1,524,1
2.4746531460004637,1455,6090.67,2,0,112,0,5,Urban,1,100,1,362,1
3.072569528593041,1360,12161.16,3,0,257,5.567337376754015,3,Rural,1,100,1,545,1
3.423298773251138,1095,3869.55,4,0,171,9.969456986764179,1,Urban,1,90.68267452,1,392,1
3.016506703437373,1377,10454.28,0,0,129,13.03308967145676,4,Urban,0,100,1,396,1
3.8184564352545376,1421,11577.22,5,0,136,6.572168334959223,2,Rural,1,100,1,398,1
3.4841772270655254,1469,7880.56,3,0,175,0,2,Urban,1,100,1,452,0
3.0751112204245854,802,11387.98,5,0,84,0,4,Urban,0,64.24010993165415,0,554,0
3.2689909066489418,1278,15136.06,3,1,170,11.489828748858718,1,Urban,1,99.20592616974153,1,366,1
2.7772063933544433,1289,20247.25,1,0,142,2.371106124299981,2,Urban,0,95.16953612005571,1,393,1
3.3738598446384307,1255,8606.28,3,0,144,1.6600852211942332,3,Rural,0,100,1,579,0
1.944838948309532,1111,3449.12,3,0,272,8.130011672617044,3,Rural,1,100,1,375,0
2.621423059440608,1304,9048.32,5,1,275,0,5,Urban,0,100,1,479,1
2.715690664386928,1166,20770.29,1,0,223,6.0533515200793655,2,Urban,0,68.82724051,0,458,0
3.010241058609437,988,10958.59,1,0,293,11.468783249941175,3,Rural,1,91.94608448557148,1,408,1
3.0230560428869206,817,5355.29,3,0,248,4.682052379945477,3,Rural,1,66.20317998356366,0,418,0
3.2730921878382446,1286,2216.47,2,0,201,4.382396279,5,Rural,0,93.04017916995554,1,445,0
3.2910134376206535,1358,12277.19,0,0,203,0,3,Urban,0,94.89821042340982,1,563,1
3.473059825,937,4885.81,0,0,86,5.156504679666523,4,Urban,1,84.00244301413426,1,346,1
3.307600995039164,935,5312.49,3,1,112,1.5861764327681547,4,Urban,0,84.56072987,1,563,1
3.413252279779835,1551,997.13,5,0,123,13.420194499327511,4,Urban,1,96.94601428689035,1,445,0
3.2983180706896666,840,5531.88,5,0,254,7.102904358,2,Urban,1,75.99493028086432,0,406,1
4.058656600615157,982,18356.15,2,0,87,4.220689792933326,1,Rural,0,70.88135771,0,515,0
2.6929563686274816,881,7180.08,0,1,265,3.546170200861251,5,Rural,0,58.03221709,0,461,1
3.440400933510301,1494,14505.9,3,0,238,2.927634283494393,1,Urban,1,96.06598647,1,545,1
2.8031718768880642,861,24734.14,4,0,54,0.9499389002420253,5,Rural,0,66.13981452956337,0,580,1
3.8686201299941656,1537,6491.81,0,0,180,3.5056448208554793,4,Rural,0,100,1,488,0
2.8103394636382846,1189,9409.2,4,0,172,7.617278451834213,5,Rural,0,96.19179045569169,1,421,0
3.5144001934923503,1022,11430.54,4,1,284,7.339476762367053,3,Rural,0,100,1,341,1
2.8386496390544305,845,2215.52,2,0,110,5.960979086,4,Urban,1,79.01725312571168,0,539,0
3.4193451407441415,799,13721.31,1,1,112,0.017961575396037155,2,Rural,0,61.634204908592366,0,515,0
3.649263888622966,1142,16631.34,5,0,85,4.8981327436155615,1,Urban,0,90.86903813736136,1,550,0
2.909075454155794,1401,1461.48,1,0,293,5.459326783,5,Rural,1,92.71744597116997,1,529,0
3.481518058,976,2932.12,4,0,258,9.700575123,4,Urban,0,98.32239558189654,1,320,0
2.5893591891699086,1406,7066.26,5,1,3,2.532635721128674,4,Rural,1,100,1,321,0
3.0819591813030796,1338,16783.59,5,1,69,10.84015124,5,Urban,1,100,1,465,0
3.0837886057011668,1420,6847.93,5,1,230,15.338469812337898,1,Urban,1,92.11418844256792,1,468,1
3.7783306666275727,857,10547.02,2,0,151,10.926756271100414,3,Urban,1,82.82208414012658,1,520,1
3.293674960993763,1282,2218.02,2,0,198,6.988911049901035,5,Rural,0,100,1,439,0
3.225096662656652,833,5517.07,5,0,248,1.8222599908648571,2,Urban,1,72.74181779873108,0,402,1
3.912337079811052,898,6698.87,3,0,16,5.490438007783526,1,Urban,0,76.08147835600955,0,599,0
3.3355034947145517,1338,12854.99,2,0,219,9.455971439088755,1,Rural,1,100,1,507,0
3.4176190278539647,1247,13387.31,4,1,269,1.421717922,1,Rural,1,99.88391480705823,1,525,0
2.6588097072060153,898,7619.3,3,0,11,7.479702256,5,Urban,0,59.86192808553517,0,522,1
3.332199254,1488,11219.57,5,0,193,9.668543504548683,4,Urban,1,86.77210463888397,1,520,0
3.005544256,1295,10982.2,0,0,152,12.703931761364807,5,Urban,0,95.99336597156035,1,330,1
2.594147994995744,939,9291.79,0,0,227,2.4517986233230413,5,Urban,0,77.24371240641098,0,398,1
3.2825768708664236,848,4463.6,1,0,273,19.88113320019993,5,Urban,0,87.67794283385297,1,439,0
2.7702389960848515,1153,11790.68,5,1,252,13.274117097569192,5,Rural,1,92.81019268,1,464,0
2.623086706029885,1149,5471.21,0,1,194,0,2,Rural,1,97.61314248,1,524,0
3.355054414844041,1193,4078.03,2,0,271,4.009924223736071,4,Urban,0,96.42014831461596,1,430,0
3.2081382055226233,1130,2274.38,0,1,218,4.974436175963636,1,Urban,0,91.12074292542165,1,365,0
2.804946969515912,1122,8771.99,4,0,178,4.404846003989003,5,Urban,1,94.37726648,1,594,0
